nomor_kelurahan;nama_kelurahan;laki_laki;perempuan;jumlah_penduduk;jumlah_luas_wilayah_(km2);jumlah_kepadatan_(jiwa/km2);umur_15-19;umur_20-24;umur_25-29;umur_30-34;umur_35-39;umur_40-44;Economic_status;persentase_umur_15_34
317251003;ANCOL;14840;13594;28434;377;7985846056;2329;2100;1155;1515;2983;1358;4;0.249665893
317341007;ANGKE;17842;16822;34664;78;4665124052;1587;1335;2797;3245;3498;2956;3;0.258596815
317541005;BALE KAMBANG;16254;15733;31987;167;2197252911;2754;2579;2757;2883;3272;2968;2;0.343045612
317531003;BALI MESTER;5594;5609;11203;67;1726584533;900;881;841;839;960;850;2;0.308935107
3175101006;BAMBU APUS;14591;14206;28797;317;1039144446;2412;2459;2644;2635;1557;2564;2;0.352467271
317431002;BANGKA;12748;12298;25046;33;8058664725;2040;1912;2051;2126;2419;2246;6;0.324562804
317551002;BARU;13980;13071;27051;189;1600953137;2354;2081;2488;2580;2646;2840;2;0.351299397
317541004;BATU AMPAR;26910;26622;53532;255;2367258112;4484;4209;4377;4900;5595;2725;2;0.335687066
317171002;BENDUNGAN HILIR;13505;13539;27044;158;1698786039;2164;2025;1922;2040;2240;2177;5;0.301397722
317531002;BIDARA CINA;21954;21864;43818;126;3584853291;3326;3346;3359;3601;4009;3825;2;0.311105025
3174101002;BINTARO;29589;29206;58795;456;1436838639;5416;2303;4729;5191;3304;5491;6;0.300008504
317411005;BUKIT DURI;21162;20776;41938;107;3946547052;3246;3200;3075;3199;3621;3385;6;0.303304879
317141006;BUNGUR;11857;11499;23356;63;3650542784;1790;1675;1780;1018;979;1763;5;0.268153793
317561007;CAKUNG BARAT;33930;32586;66516;612;1218441291;5686;2890;2757;6583;4363;6724;2;0.269348728
317561004;CAKUNG TIMUR;33588;32413;66001;981;7620703785;5571;3015;5815;6754;7528;3024;2;0.320525447
317541007;CAWANG;19658;18932;38590;179;2275189902;3040;2814;3151;3536;3853;3447;2;0.324980565
3175101008;CEGER;10894;10293;21187;363;6538885825;1823;1810;1888;879;2158;1960;2;0.302072025
317131006;CEMPAKA BARU;20570;20284;40854;99;4260243632;1940;3069;3019;3250;3693;3515;5;0.2760562
317151002;CEMPAKA PUTIH BARAT;21912;21667;43579;122;3691064249;3709;3257;1772;3379;3788;3684;5;0.278046766
317151001;CEMPAKA PUTIH TIMUR;14787;14798;29585;223;1344159928;2391;2114;1949;2240;2509;2524;5;0.293865134
317311001;CENGKARENG BARAT;38035;36887;74922;361;2292465127;6304;5704;6105;6989;7840;7004;3;0.335041777
317311006;CENGKARENG TIMUR;46032;44800;90832;452;2266910299;3940;7081;4529;9063;10318;4847;3;0.270972785
317591002;CIBUBUR;36861;36557;73418;45;1829709743;6390;5923;3357;3636;7360;6614;2;0.262960037
317111002;CIDENG;9503;9713;19216;126;1533312233;1371;1330;1307;1512;1620;1461;5;0.287260616
317491003;CIGANJUR;20845;20334;41179;338;1424970379;3707;3292;3447;3822;4534;4077;6;0.346487287
317551003;CIJANTUNG;23297;22882;46179;238;2169903931;2132;3782;4033;2317;4687;4074;2;0.265575261
317161003;CIKINI;5174;5137;10311;82;1270922159;804;774;807;786;863;841;5;0.307535642
